Time,Category,Message,
27.08.2026 23:30:00,Order,Order='2876450911/PA-APEX-240737-10' Name='Long1_2' New state='Accepted' Instrument='MNQ SEP26' Action='Buy' Limit price=29694.25 Stop price=29694.25 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 23:30:00,Order,Order='ba67cb3fbcd4479195333c5f840302d2/PA-APEX-240737-10' Name='Long1_2' New state='Submitted' Instrument='MNQ SEP26' Action='Buy' Limit price=29694.25 Stop price=29694.25 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 23:30:00,NinjaScript,NinjaScript strategy 'RRLongTimeWinStopLimitTPlimitGAPWindowRROffsetsSafeExitsRouted/250203020' submitting order,
27.08.2026 23:01:07,Connection,Market data failed for 'MNQ SEP26': 'get_order_book error : 13',
27.08.2026 23:01:07,Connection,Apex: Primary connection=Connected, Price feed=Connected,
27.08.2026 23:00:45,Default,Strategy 'RRLongTimeWinStopLimitTPlimitGAPWindowRROffsetsSafeExitsRouted/250203020' lost price connection but will keep running.,
27.08.2026 23:00:45,Default,Strategy 'RRLongTimeWinStopLimitTPlimitGAPWindowRROffsetsSafeExitsRouted/250203022' lost price connection but will keep running.,
27.08.2026 23:00:45,Default,Strategy 'RRLongTimeWinStopLimitTPlimitGAPWindowRROffsetsSafeExitsRouted/250203021' lost price connection but will keep running.,
27.08.2026 23:00:45,Default,Strategy 'RRLongTimeWinStopLimitTPlimitGAPWindowRROffsetsSafeExitsRouted/250203019' lost price connection but will keep running.,
27.08.2026 23:00:45,Default,Strategy 'RRLongTimeWinStopLimitTPlimitGAPWindowRROffsetsSafeExitsRouted/250203024' lost price connection but will keep running.,
27.08.2026 23:00:45,Default,Strategy 'RRLongTimeWinStopLimitTPlimitGAPWindowRROffsetsSafeExitsRouted/250203023' lost price connection but will keep running.,
27.08.2026 23:00:45,Connection,Apex: Primary connection=Connected, Price feed=Connection lost,
27.08.2026 22:34:15,Order,Order='2876405629/PA-APEX-240737-09' Name='StopLimit_1' New state='Accepted' Instrument='MNQ SEP26' Action='Sell' Limit price=29526.5 Stop price=29526.5 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 22:34:15,Order,Order='9f80e0ea4ebd436c9725588f935f05b5/PA-APEX-240737-09' Name='StopLimit_1' New state='Submitted' Instrument='MNQ SEP26' Action='Sell' Limit price=29526.5 Stop price=29526.5 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 22:34:15,NinjaScript,NinjaScript strategy 'RRLongTimeWinStopLimitTPlimitGAPWindowRROffsetsSafeExitsRouted/250203019' submitting order,
27.08.2026 22:34:15,Execution,Execution='1791059|2876227586|2876227586' Instrument='MNQ SEP26' Account='PA-APEX-240737-09' Exchange=Globex Price=29622.25 Quantity=1 Market position=Long Operation=Operation_Add Order='2876227586' Time='8.27.2026 10:34 PM',
27.08.2026 22:34:15,Order,Order='2876227586/PA-APEX-240737-09' Name='Long1_1' New state='Filled' Instrument='MNQ SEP26' Action='Buy' Limit price=29622.25 Stop price=29622.25 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=1 Fill price=29622.25 Error='No error' Native error='',
27.08.2026 22:34:15,Order,Order='2876227586/PA-APEX-240737-09' Name='Long1_1' New state='Working' Instrument='MNQ SEP26' Action='Buy' Limit price=29622.25 Stop price=29622.25 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 22:34:15,Position,Instrument='MNQ SEP26' Account='PA-APEX-240737-09' Average price=29622.25 Quantity=1 Market position=Long Operation=Operation_Add,
27.08.2026 21:30:00,Order,Order='2876227586/PA-APEX-240737-09' Name='Long1_1' New state='Accepted' Instrument='MNQ SEP26' Action='Buy' Limit price=29622.25 Stop price=29622.25 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 21:30:00,Order,Order='2876227586/PA-APEX-240737-09' Name='Long1_1' New state='Change submitted' Instrument='MNQ SEP26' Action='Buy' Limit price=29622.25 Stop price=29622.25 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 21:10:46,Execution,Execution='1776130|2876288869|2876288869' Instrument='MNQ SEP26' Account='PA-APEX-240737-10' Exchange=Globex Price=29573 Quantity=1 Market position=Short Operation=Operation_Add Order='2876288869' Time='8.27.2026 9:10 PM',
