seat,start_date,end_date,status,reached_safety_net,banked,equity_at_end,value
1,2020-01-02,,alive,True,15000,16106,31106
2,2020-02-03,,alive,True,14800,16223,31023
3,2020-03-04,,alive,True,14800,15942,30742
4,2020-04-03,,alive,True,14400,15812,30212
5,2020-05-04,,alive,True,14200,15384,29584
6,2020-06-03,2022-07-01,blown,True,600,122,600
7,2020-09-02,2022-06-17,blown,True,400,142,400
8,2020-10-05,2022-07-01,blown,True,1000,99,1000
9,2020-11-04,2022-06-15,blown,True,400,220,400
10,2020-12-04,2022-06-14,blown,True,0,202,0
11,2021-01-04,2022-06-14,blown,True,0,111,0
12,2021-02-03,2022-06-15,blown,True,400,237,400
13,2021-03-05,2022-06-17,blown,True,600,102,600
14,2021-04-05,2022-06-13,blown,True,0,194,0
15,2021-05-05,2022-06-14,blown,True,0,175,0
16,2021-06-04,2022-06-30,blown,True,600,117,600
17,2021-07-05,2022-06-30,blown,True,600,103,600
18,2021-08-04,2022-06-17,blown,True,600,117,600
19,2021-09-03,2022-06-17,blown,True,600,99,600
20,2021-11-04,2022-06-13,blown,False,0,-190,0
21,2022-06-13,,alive,True,12800,14126,26926
22,2022-07-13,,alive,True,12800,14116,26916
23,2022-08-15,,alive,True,11800,12845,24645
24,2022-09-14,,alive,True,11600,12740,24340
25,2022-10-14,,alive,True,11000,12174,23174
26,2022-11-14,,alive,True,11200,12269,23469
27,2022-12-14,,alive,True,10800,12073,22873
28,2023-01-13,,alive,True,11200,12325,23525
29,2023-02-13,,alive,True,10800,11962,22762
30,2023-03-15,,alive,True,10600,11702,22302
31,2023-04-14,,alive,True,9800,10931,20731
32,2023-05-15,,alive,True,10000,11288,21288
33,2023-06-14,,alive,True,9600,11013,20613
34,2023-07-14,,alive,True,9800,10890,20690
35,2023-08-14,,alive,True,9800,11013,20813
