policy,withdraw,ruin_rate,wipeout_rate,collapse_rate,collapse_pct,worst_wipe,wipeout_pct,wipeouts,blowups,spent,cash_p10,cash_median,cash_p90,drawn_median,equity_median,net_p10,net_median,below_water,worst,seats_median,starts_median
subscription,never,n/a,11%,0%,0,1,11,0.17,6,4800,0,0,0,0,79337,6800,74337,6%,-4115,24,18
"bootstrap · all-in, strip to net","strip to $2,600",39%,83%,83%,83,20,83,1.61,27,0,0,108955,200183,115755,7356,-1200,152032,39%,-1200,35,1
"bootstrap · 1/interval, strip to net","strip to $2,600",11%,72%,28%,28,9,72,1.22,10,0,1109,35006,126518,38606,8342,-1158,43581,17%,-1503,21,8
"bootstrap · 1/interval, keep $4,000","strip to $4,000",17%,39%,11%,11,9,39,0.56,7,0,0,12820,86117,16220,8735,-1200,29588,17%,-1200,18,7
"bootstrap · 1/interval, never withdraw",never,17%,28%,0%,0,1,28,0.33,2,0,0,0,0,0,36997,-1200,35797,17%,-1200,6,4
"bootstrap · 1/interval, $200 per $400 (50%)",$200 per $400 gained,17%,33%,0%,0,1,33,0.44,6,0,0,19900,70560,23500,31200,-1200,62638,17%,-1200,21,16
"bootstrap · 1/interval, $200 per $600 (33%)",$200 per $600 gained,22%,39%,0%,0,1,39,0.44,6,0,0,12900,49120,16200,45100,-1200,62623,22%,-1200,20,12
"bootstrap · 1/interval, $200 per $1,000 (20%)","$200 per $1,000 gained",28%,39%,0%,0,1,39,0.44,5,0,0,5800,27080,8100,50966,-1200,59066,28%,-1200,15,8
"bootstrap · 1/interval, $200 per $2,000 (10%)","$200 per $2,000 gained",28%,39%,0%,0,1,39,0.44,5,0,0,1200,10460,2500,49644,-1200,51344,28%,-1200,12,8
"bootstrap · 1/interval, $500 per $2,500 (20%)","$500 per $2,500 gained",17%,28%,0%,0,1,28,0.33,4,0,0,3450,21930,4750,44532,-1200,51432,17%,-1200,12,8
"bootstrap · 1/interval, $1,000 per $5,000 (20%)","$1,000 per $5,000 gained",17%,28%,0%,0,1,28,0.33,5,0,0,2800,14720,3500,35992,-1200,40492,17%,-1200,9,5
"bootstrap · 1/interval, $1,000 per $2,000 (50%)","$1,000 per $2,000 gained",17%,33%,0%,0,1,33,0.39,5,0,0,12900,65300,16000,30138,-1200,52213,17%,-1200,18,10
"bootstrap · 1/interval, $2,000 per $4,000 (50%)","$2,000 per $4,000 gained",17%,28%,0%,0,1,28,0.33,5,0,0,7300,47180,9000,35302,-1200,54491,17%,-1200,12,8
