rr,commission_roundturn,phase,phase_start,phase_end,k_seats,variant,assignment,contract_trades,contract_hours,max_concurrent_contracts,raw_net_after_commission,worst_template_equity_dd,aggregate_closed_dd,aggregate_daily_dd,same_k_all_window_contract_trades,contract_trade_ratio_vs_same_k_all_window,same_k_all_window_contract_hours,contract_hour_ratio_vs_same_k_all_window,one_per_window_contract_trades,contract_trade_ratio_vs_one_per_window,raw_net_difference_vs_one_per_window
1.000000,1.050000,train_2020_2022,2020-01-01,2022-12-31,1,identical_all_window,same all-window stream x1,4228,6795.016944,1,2937.600000,4602.100000,4467.950000,4308.850000,4228,1.000000,6795.016944,1.000000,,,
1.000000,1.050000,train_2020_2022,2020-01-01,2022-12-31,1,round_robin_schedule,seat1=1-2|2-3|3-4|4-5|5-6|6-7|7-8|8-9|9-10|10-11|11-12|12-13|13-14|14-15|15-16|16-17|17-18|18-19|19-20|20-21|21-22|22-23|23-24,4228,6795.016944,1,2937.600000,4602.100000,4467.950000,4308.850000,4228,1.000000,6795.016944,1.000000,,,
1.000000,1.050000,train_2020_2022,2020-01-01,2022-12-31,2,identical_all_window,same all-window stream x2,8456,13590.033889,2,5875.200000,4602.100000,8935.900000,8617.700000,8456,1.000000,13590.033889,1.000000,,,
1.000000,1.050000,train_2020_2022,2020-01-01,2022-12-31,2,round_robin_schedule,seat1=1-2|3-4|5-6|7-8|9-10|11-12|13-14|15-16|17-18|19-20|21-22|23-24; seat2=2-3|4-5|6-7|8-9|10-11|12-13|14-15|16-17|18-19|20-21|22-23,5011,7834.316944,2,9955.450000,3061.550000,4905.600000,4682.000000,8456,0.592597,13590.033889,0.576475,,,
1.000000,1.050000,train_2020_2022,2020-01-01,2022-12-31,3,identical_all_window,same all-window stream x3,12684,20385.050833,3,8812.800000,4602.100000,13403.850000,12926.550000,12684,1.000000,20385.050833,1.000000,,,
1.000000,1.050000,train_2020_2022,2020-01-01,2022-12-31,3,round_robin_schedule,seat1=1-2|4-5|7-8|10-11|13-14|16-17|19-20|22-23; seat2=2-3|5-6|8-9|11-12|14-15|17-18|20-21|23-24; seat3=3-4|6-7|9-10|12-13|15-16|18-19|21-22,5373,8302.583611,3,7039.850000,6636.850000,5261.050000,5102.900000,12684,0.423605,20385.050833,0.407288,,,
1.000000,1.050000,train_2020_2022,2020-01-01,2022-12-31,4,identical_all_window,same all-window stream x4,16912,27180.067778,4,11750.400000,4602.100000,17871.800000,17235.400000,16912,1.000000,27180.067778,1.000000,,,
1.000000,1.050000,train_2020_2022,2020-01-01,2022-12-31,4,round_robin_schedule,seat1=1-2|5-6|9-10|13-14|17-18|21-22; seat2=2-3|6-7|10-11|14-15|18-19|22-23; seat3=3-4|7-8|11-12|15-16|19-20|23-24; seat4=4-5|8-9|12-13|16-17|20-21,5539,8475.216944,4,9065.050000,4330.050000,5345.350000,5164.550000,16912,0.327519,27180.067778,0.311817,,,
1.000000,1.050000,train_2020_2022,2020-01-01,2022-12-31,6,identical_all_window,same all-window stream x6,25368,40770.101667,6,17625.600000,4602.100000,26807.700000,25853.100000,25368,1.000000,40770.101667,1.000000,,,
1.000000,1.050000,train_2020_2022,2020-01-01,2022-12-31,6,round_robin_schedule,seat1=1-2|7-8|13-14|19-20; seat2=2-3|8-9|14-15|20-21; seat3=3-4|9-10|15-16|21-22; seat4=4-5|10-11|16-17|22-23; seat5=5-6|11-12|17-18|23-24; seat6=6-7|12-13|18-19,5675,8639.439167,5,8268.750000,6803.850000,5718.650000,5584.450000,25368,0.223707,40770.101667,0.211906,,,
1.000000,1.050000,train_2020_2022,2020-01-01,2022-12-31,23,identical_all_window,same all-window stream x23,97244,156285.389722,23,67564.800000,4602.100000,102762.850000,99103.550000,97244,1.000000,156285.389722,1.000000,5726.000000,16.982885,58942.100000
1.000000,1.050000,train_2020_2022,2020-01-01,2022-12-31,23,round_robin_schedule,seat1=1-2; seat2=2-3; seat3=3-4; seat4=4-5; seat5=5-6; seat6=6-7; seat7=7-8; seat8=8-9; seat9=9-10; seat10=10-11; seat11=11-12; seat12=12-13; seat13=13-14; seat14=14-15; seat15=15-16; seat16=16-17; seat17=17-18; seat18=18-19; seat19=19-20; seat20=20-21; seat21=21-22; seat22=22-23; seat23=23-24,5726,8688.489167,5,8622.700000,4520.700000,5585.750000,5451.550000,97244,0.058883,156285.389722,0.055594,5726.000000,1.000000,0.000000
1.000000,1.050000,train_2020_2022,2020-01-01,2022-12-31,23,top20_plus_3_train_duplicates,seat1=17-18; seat2=20-21; seat3=14-15; seat4=5-6; seat5=7-8; seat6=8-9; seat7=2-3; seat8=3-4; seat9=13-14; seat10=4-5; seat11=18-19; seat12=6-7; seat13=23-24; seat14=11-12; seat15=21-22; seat16=10-11; seat17=1-2; seat18=9-10; seat19=22-23; seat20=12-13; seat21=17-18; seat22=20-21; seat23=14-15,5454,8890.778056,7,25733.800000,2412.000000,3927.200000,3743.900000,97244,0.056086,156285.389722,0.056888,5726.000000,0.952497,17111.100000
1.000000,1.050000,test_2023_plus,2023-01-01,sample_end,1,identical_all_window,same all-window stream x1,5071,8494.627500,1,24744.950000,6566.700000,6468.200000,6378.750000,5071,1.000000,8494.627500,1.000000,,,
1.000000,1.050000,test_2023_plus,2023-01-01,sample_end,1,round_robin_schedule,seat1=1-2|2-3|3-4|4-5|5-6|6-7|7-8|8-9|9-10|10-11|11-12|12-13|13-14|14-15|15-16|16-17|17-18|18-19|19-20|20-21|21-22|22-23|23-24,5071,8494.627500,1,24744.950000,6566.700000,6468.200000,6378.750000,5071,1.000000,8494.627500,1.000000,,,
1.000000,1.050000,test_2023_plus,2023-01-01,sample_end,2,identical_all_window,same all-window stream x2,10142,16989.255000,2,49489.900000,6566.700000,12936.400000,12757.500000,10142,1.000000,16989.255000,1.000000,,,
1.000000,1.050000,test_2023_plus,2023-01-01,sample_end,2,round_robin_schedule,seat1=1-2|3-4|5-6|7-8|9-10|11-12|13-14|15-16|17-18|19-20|21-22|23-24; seat2=2-3|4-5|6-7|8-9|10-11|12-13|14-15|16-17|18-19|20-21|22-23,6045,9780.493889,2,23058.750000,5699.800000,7603.850000,7568.550000,10142,0.596036,16989.255000,0.575687,,,
1.000000,1.050000,test_2023_plus,2023-01-01,sample_end,3,identical_all_window,same all-window stream x3,15213,25483.882500,3,74234.850000,6566.700000,19404.600000,19136.250000,15213,1.000000,25483.882500,1.000000,,,
