k,copies,policy,episodes,selection_end,fill_rate_median,fill_rate_p10,offer_coverage_median,cashout_median,cashout_p10,cashout_es10,realized_median,net_payouts_median,ruin_rate,zero_seat_episode_rate,large_shock_episode_rate,worst_death_cluster,replacements_median,first_payout_days_median,initial_capital,cashout_roi_median,test_fill_rate,test_cashout,test_realized,test_net_payouts,test_ruined,test_worst_death_cluster,test_replacements
1,1,least_trades,5,2023-01-01,0.73043027,0.72943942,0.73043027,628.43500000,-272.00000000,-400.00000000,460.00000000,900.00000000,0.00000000,1.00000000,0.00000000,1,3.00000000,456.43750000,1200.00000000,0.52369583,0.73153491,19730.45500000,10240.00000000,10440.00000000,False,0,0
1,1,max_headroom,5,2023-01-01,0.73043027,0.72943942,0.73043027,628.43500000,-272.00000000,-400.00000000,460.00000000,900.00000000,0.00000000,1.00000000,0.00000000,1,3.00000000,456.43750000,1200.00000000,0.52369583,0.73153491,19730.45500000,10240.00000000,10440.00000000,False,0,0
1,1,protect_frozen,5,2023-01-01,0.73043027,0.72943942,0.73043027,628.43500000,-272.00000000,-400.00000000,460.00000000,900.00000000,0.00000000,1.00000000,0.00000000,1,3.00000000,456.43750000,1200.00000000,0.52369583,0.73153491,19730.45500000,10240.00000000,10440.00000000,False,0,0
1,1,round_robin,5,2023-01-01,0.73043027,0.72943942,0.73043027,628.43500000,-272.00000000,-400.00000000,460.00000000,900.00000000,0.00000000,1.00000000,0.00000000,1,3.00000000,456.43750000,1200.00000000,0.52369583,0.73153491,19730.45500000,10240.00000000,10440.00000000,False,0,0
1,1,stable_hash,5,2023-01-01,0.73043027,0.72943942,0.73043027,628.43500000,-272.00000000,-400.00000000,460.00000000,900.00000000,0.00000000,1.00000000,0.00000000,1,3.00000000,456.43750000,1200.00000000,0.52369583,0.73153491,19730.45500000,10240.00000000,10440.00000000,False,0,0
2,1,least_trades,5,2023-01-01,0.95346432,0.95309897,0.95346432,3969.98500000,1939.42300000,710.83500000,1720.00000000,2700.00000000,0.00000000,0.00000000,0.00000000,1,4.00000000,306.81250000,1400.00000000,2.83570357,0.95643393,18510.42000000,11100.00000000,11700.00000000,False,1,1
2,1,max_headroom,5,2023-01-01,0.95346432,0.95309897,0.95346432,2072.59500000,473.28600000,-420.00000000,840.00000000,1440.00000000,0.00000000,0.00000000,0.00000000,1,1.00000000,373.10416667,1400.00000000,1.48042500,0.95643393,19851.30500000,10760.00000000,11160.00000000,False,0,0
2,1,protect_frozen,5,2023-01-01,0.95346432,0.95309897,0.95346432,3791.17000000,445.54000000,-917.76000000,1720.00000000,2520.00000000,0.00000000,0.00000000,0.00000000,1,2.00000000,329.97916667,1400.00000000,2.70797857,0.95643393,18758.30000000,11120.00000000,11520.00000000,False,0,0
2,1,round_robin,5,2023-01-01,0.95346432,0.95309897,0.95346432,3059.22000000,1063.72800000,732.88000000,1560.00000000,2160.00000000,0.00000000,0.00000000,0.00000000,1,1.00000000,399.87500000,1400.00000000,2.18515714,0.95643393,18758.30000000,11120.00000000,11520.00000000,False,0,0
2,1,stable_hash,5,2023-01-01,0.95346432,0.95309897,0.95346432,1940.54500000,1323.66700000,1260.05500000,1200.00000000,1980.00000000,0.00000000,0.00000000,0.00000000,1,2.00000000,417.70833333,1400.00000000,1.38610357,0.95643393,18758.30000000,10940.00000000,11340.00000000,False,0,0
3,1,least_trades,5,2023-01-01,0.99455677,0.99401272,0.99455677,1022.00500000,-114.87800000,-640.00000000,640.00000000,1440.00000000,0.00000000,0.00000000,0.00000000,1,1.00000000,502.43750000,1600.00000000,0.63875313,0.99495095,16057.78500000,10560.00000000,11160.00000000,False,0,0
3,1,max_headroom,5,2023-01-01,0.99455677,0.99401272,0.99455677,2100.00000000,1000.61400000,300.00000000,1560.00000000,2160.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,233.97916667,1600.00000000,1.31250000,0.99495095,19741.17000000,10380.00000000,10980.00000000,False,0,0
3,1,protect_frozen,5,2023-01-01,0.99455677,0.99401272,0.99455677,630.80000000,-99.77300000,-472.95500000,460.00000000,1260.00000000,0.00000000,0.00000000,0.00000000,1,2.00000000,532.66666667,1600.00000000,0.39425000,0.99495095,17458.75000000,11080.00000000,11880.00000000,False,1,1
3,1,round_robin,5,2023-01-01,0.99455677,0.99401272,0.99455677,710.94000000,-252.00000000,-620.00000000,300.00000000,900.00000000,0.00000000,0.00000000,0.00000000,1,1.00000000,604.95833333,1600.00000000,0.44433750,0.99495095,15520.78000000,10000.00000000,10800.00000000,False,1,1
3,1,stable_hash,5,2023-01-01,0.99455677,0.99401272,0.99455677,2181.45500000,-136.00000000,-1000.00000000,1160.00000000,2160.00000000,0.00000000,0.00000000,0.00000000,1,2.00000000,478.47916667,1600.00000000,1.36340937,0.99495095,16057.78500000,10380.00000000,10980.00000000,False,0,0
4,1,least_trades,5,2023-01-01,1.00000000,0.99973968,1.00000000,440.00000000,-604.00000000,-820.00000000,-100.00000000,900.00000000,0.00000000,0.00000000,0.00000000,1,1.00000000,349.60416667,1800.00000000,0.24444444,0.99985574,12867.11000000,10340.00000000,11340.00000000,False,1,1
4,1,max_headroom,5,2023-01-01,1.00000000,0.99973968,1.00000000,2019.61000000,424.00000000,-80.00000000,1180.00000000,1980.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,399.31250000,1800.00000000,1.12200556,0.99985574,19499.90500000,10000.00000000,10800.00000000,False,0,0
4,1,protect_frozen,5,2023-01-01,1.00000000,0.99973968,1.00000000,-540.00000000,-1057.18000000,-1200.00000000,-540.00000000,720.00000000,0.00000000,0.00000000,0.00000000,1,2.00000000,614.89583333,1800.00000000,-0.30000000,0.99985574,14097.45500000,9080.00000000,10080.00000000,False,1,1
4,1,round_robin,5,2023-01-01,1.00000000,0.99973968,1.00000000,1070.97000000,573.21800000,449.36000000,240.00000000,1440.00000000,0.00000000,0.00000000,0.00000000,1,1.00000000,420.95833333,1800.00000000,0.59498333,0.99985574,14935.96500000,8880.00000000,10080.00000000,False,1,2
4,1,stable_hash,5,2023-01-01,1.00000000,0.99973968,1.00000000,1305.98000000,-624.00000000,-1200.00000000,420.00000000,1620.00000000,0.00000000,0.00000000,0.00000000,1,2.00000000,462.84375000,1800.00000000,0.72554444,0.99985574,13919.95000000,8380.00000000,9180.00000000,False,0,0
4,2,least_trades,5,2023-01-01,0.95334370,0.95283695,0.95346432,8221.98500000,3940.07300000,1563.37500000,3440.00000000,5400.00000000,0.00000000,0.00000000,0.00000000,2,8.00000000,300.97916667,1800.00000000,4.56776944,0.95643393,37020.84000000,22200.00000000,23400.00000000,False,2,2
4,2,max_headroom,5,2023-01-01,0.95346432,0.95309897,0.95346432,4145.19000000,598.57200000,-1420.00000000,1680.00000000,2880.00000000,0.00000000,0.00000000,0.00000000,2,2.00000000,373.10416667,1800.00000000,2.30288333,0.95643393,39702.61000000,21520.00000000,22320.00000000,False,0,0
4,2,protect_frozen,5,2023-01-01,0.95334370,0.95296796,0.95346432,7468.94000000,2645.75300000,1001.36500000,3260.00000000,4860.00000000,0.00000000,0.00000000,0.00000000,2,4.00000000,329.97916667,1800.00000000,4.14941111,0.95643393,37516.60000000,22240.00000000,23040.00000000,False,0,0
4,2,round_robin,5,2023-01-01,0.95333506,0.95302012,0.95346432,6192.82500000,2170.38600000,1537.31000000,3300.00000000,4500.00000000,0.00000000,0.00000000,0.00000000,2,2.00000000,399.87500000,1800.00000000,3.44045833,0.95643393,37516.60000000,22240.00000000,23040.00000000,False,0,0
4,2,stable_hash,5,2023-01-01,0.95346432,0.95309897,0.95346432,4315.24500000,1102.08200000,263.47000000,2360.00000000,3960.00000000,0.00000000,0.00000000,0.00000000,1,4.00000000,392.95833333,1800.00000000,2.39735833,0.95643393,37516.60000000,21700.00000000,22500.00000000,False,0,0
5,1,least_trades,5,2023-01-01,1.00000000,1.00000000,1.00000000,-249.39500000,-1346.50900000,-1537.51500000,-520.00000000,1080.00000000,0.00000000,0.00000000,0.00000000,1,3.00000000,479.95833333,2000.00000000,-0.12469750,1.00000000,13326.05000000,8120.00000000,9720.00000000,False,1,3
5,1,max_headroom,5,2023-01-01,1.00000000,1.00000000,1.00000000,1520.00000000,404.00000000,-100.00000000,1160.00000000,2160.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,416.12500000,2000.00000000,0.76000000,1.00000000,18041.48000000,9440.00000000,10440.00000000,False,0,0
5,1,protect_frozen,5,2023-01-01,1.00000000,1.00000000,1.00000000,-1163.73000000,-1405.16900000,-1408.61500000,-1400.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1,2.00000000,648.29166667,2000.00000000,-0.58186500,1.00000000,11689.10500000,7420.00000000,8820.00000000,False,1,2
5,1,round_robin,5,2023-01-01,1.00000000,1.00000000,1.00000000,-806.18500000,-1060.00000000,-1220.00000000,-820.00000000,180.00000000,0.00000000,0.00000000,0.00000000,1,0.00000000,573.77083333,2000.00000000,-0.40309250,1.00000000,11504.28500000,8000.00000000,9000.00000000,False,0,0
5,1,stable_hash,5,2023-01-01,1.00000000,1.00000000,1.00000000,1494.19500000,475.63000000,88.08000000,220.00000000,1620.00000000,0.00000000,0.00000000,0.00000000,1,2.00000000,461.70833333,2000.00000000,0.74709750,1.00000000,12023.41500000,7380.00000000,9180.00000000,False,1,4
5,2,least_trades,5,2023-01-01,0.97407983,0.97387463,0.99455677,2270.40000000,314.44900000,-566.38500000,1300.00000000,2700.00000000,0.00000000,0.00000000,0.00000000,2,3.00000000,219.39583333,2000.00000000,1.13520000,0.97569244,33926.49000000,24300.00000000,26100.00000000,False,1,4
5,2,max_headroom,5,2023-01-01,0.97407983,0.97387463,0.99455677,4209.47500000,820.00000000,-340.00000000,2020.00000000,3420.00000000,0.00000000,0.00000000,0.00000000,2,2.00000000,225.72916667,2000.00000000,2.10473750,0.97569244,39344.52500000,21140.00000000,22140.00000000,False,0,0
5,2,protect_frozen,5,2023-01-01,0.97407983,0.97387463,0.99455677,4018.11500000,350.49700000,-526.78500000,2360.00000000,3960.00000000,0.00000000,0.00000000,0.00000000,2,5.00000000,328.93750000,2000.00000000,2.00905750,0.97569244,34897.96500000,22200.00000000,23400.00000000,False,1,1
5,2,round_robin,5,2023-01-01,0.97407983,0.97387463,0.99455677,4312.03000000,275.77900000,-1492.96500000,2680.00000000,4500.00000000,0.00000000,0.00000000,0.00000000,2,4.00000000,470.14583333,2000.00000000,2.15601500,0.97569244,35978.73000000,20400.00000000,21600.00000000,False,1,1
5,2,stable_hash,5,2023-01-01,0.97407983,0.97387463,0.99455677,4462.08500000,2045.89300000,1926.60500000,2140.00000000,4140.00000000,0.00000000,0.00000000,0.00000000,1,3.00000000,307.43750000,2000.00000000,2.23104250,0.97569244,35603.38500000,20580.00000000,21780.00000000,False,1,1
6,1,least_trades,5,2023-01-01,1.00000000,1.00000000,1.00000000,360.40500000,-989.54800000,-1043.53000000,-520.00000000,1080.00000000,0.00000000,0.00000000,0.00000000,1,2.00000000,350.85416667,2200.00000000,0.16382045,1.00000000,13066.63000000,8440.00000000,10440.00000000,False,1,4
6,1,max_headroom,5,2023-01-01,1.00000000,1.00000000,1.00000000,960.00000000,185.28000000,-300.00000000,960.00000000,2160.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,291.97916667,2200.00000000,0.43636364,1.00000000,17609.59500000,9240.00000000,10440.00000000,False,0,0
6,1,protect_frozen,5,2023-01-01,1.00000000,1.00000000,1.00000000,-1600.00000000,-1676.84700000,-1704.75500000,-1800.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1,3.00000000,,2200.00000000,-0.72727273,1.00000000,9753.34500000,7920.00000000,9720.00000000,False,1,3
6,1,round_robin,5,2023-01-01,1.00000000,1.00000000,1.00000000,-320.00000000,-1256.00000000,-1400.00000000,-500.00000000,900.00000000,0.00000000,0.00000000,0.00000000,1,1.00000000,454.25000000,2200.00000000,-0.14545455,1.00000000,9259.37500000,7600.00000000,9000.00000000,False,1,1
6,1,stable_hash,5,2023-01-01,1.00000000,1.00000000,1.00000000,623.47000000,-72.30400000,-340.00000000,-160.00000000,1440.00000000,0.00000000,0.00000000,0.00000000,1,2.00000000,461.72916667,2200.00000000,0.28339545,1.00000000,12705.55000000,7540.00000000,9540.00000000,False,1,4
6,2,least_trades,5,2023-01-01,0.99455677,0.99401272,0.99455677,1746.51500000,350.82500000,-290.49500000,1280.00000000,2880.00000000,0.00000000,0.00000000,0.00000000,2,2.00000000,502.43750000,2200.00000000,0.79387045,0.99495095,32115.57000000,21120.00000000,22320.00000000,False,0,0
6,2,max_headroom,5,2023-01-01,0.99455677,0.99401272,0.99455677,4200.00000000,2001.22800000,600.00000000,3120.00000000,4320.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,233.97916667,2200.00000000,1.90909091,0.99495095,39482.34000000,20760.00000000,21960.00000000,False,0,0
6,2,protect_frozen,5,2023-01-01,0.99455677,0.99401272,0.99455677,1293.77500000,-181.09900000,-1155.16500000,1280.00000000,2880.00000000,0.00000000,0.00000000,0.00000000,2,4.00000000,502.95833333,2200.00000000,0.58807955,0.99495095,34917.50000000,22340.00000000,23940.00000000,False,2,2
6,2,round_robin,5,2023-01-01,0.99455677,0.99401272,0.99455677,1421.88000000,-504.00000000,-1240.00000000,600.00000000,1800.00000000,0.00000000,0.00000000,0.00000000,2,2.00000000,604.95833333,2200.00000000,0.64630909,0.99495095,31041.56000000,20000.00000000,21600.00000000,False,2,2
6,2,stable_hash,5,2023-01-01,0.99455677,0.99401272,0.99455677,2885.36000000,1333.35800000,513.72000000,2140.00000000,4140.00000000,0.00000000,0.00000000,0.00000000,1,4.00000000,334.45833333,2200.00000000,1.31152727,0.99495095,33272.79500000,20540.00000000,22140.00000000,False,1,2
6,3,least_trades,5,2023-01-01,0.95325730,0.95285474,0.95346432,11275.59000000,3714.43400000,480.84000000,5160.00000000,8100.00000000,0.00000000,0.00000000,0.00000000,3,9.00000000,300.97916667,2200.00000000,5.12526818,0.95643393,55531.26000000,33120.00000000,34920.00000000,False,3,3
6,3,max_headroom,5,2023-01-01,0.95337815,0.95297685,0.95346432,6389.76000000,2520.00000000,0.00000000,3420.00000000,5220.00000000,0.00000000,0.00000000,0.00000000,3,3.00000000,372.70833333,2200.00000000,2.90443636,0.95643393,59553.91500000,32280.00000000,33480.00000000,False,0,0
6,3,protect_frozen,5,2023-01-01,0.95325730,0.95292429,0.95346432,8564.82500000,2254.94700000,-1324.94500000,5160.00000000,7560.00000000,0.00000000,0.00000000,0.00000000,3,6.00000000,329.97916667,2200.00000000,3.89310227,0.95643393,56274.90000000,33360.00000000,34560.00000000,False,0,0
